,ABJQ,ABJR,ABMD,ABME,ABMF,ABMG,ABMI,ABML,ABMM,ABMP,ABMQ,ABMZ,ABNU,ABNV,ABPB,ABPF,KB7D,KB7E,KB7F,KB7K,KB7L,ABTF,KB7M,KB7N,ABTH,KB7O,KB7P,KB7Q,KB7R,KB7S,KB7T,KB7U,KB7V,KB7W,KB7X,KB7Y,KB7Z,KB82,KB83,KB84,KB85,KB86,KB87,KB88,KB89,KB8A,KB8B,KB8C,KB8D,BKTL,BKVT,KB8E,BOKG,KB8F,BOKH,BOKI,KB8G,KB8H,KB8I,KB8J,KB8K,KB8L,KB8M,KB8N,KB94,KG7F,KGN8,BQKO,KGN9,KGO2,BQKQ,KGO6,KGO7,KGO8,KGO9,KGP2,KGP3,KGP5,KGP7,KGP9,KGQ2,KGQ3,KGQ4,KGQ5,CAED,KGQ6,KGQ7,CAEQ,KGQ8,CAER,KGQ9,CAES,KGR2,CAEX,KGR3,CAFU,CAGD,KGR4,CAGQ,CAGR,KGR5,CAGS,KGR6,KGR7,KGR8,CGBV,KGR9,KGS2,CGBX,KGS3,KGS4,CGBZ,KGS5,KGS6,CGCB,KGS7,CGCE,KGS8,KGS9,KGT2,KGT3,KGT4,KGT5,KGT6,KGT7,KGT8,KGT9,KGU2,KGU3,KGU4,KGU5,KGU6,KGU7,KGU8,KGU9,KGV2,KGV3,KGW2,KGX6,KH23,KH2F,KH4J,KH4M,KH5C,KH5D,KH5E,KH5F,KH5G,KH5H,KH6E,KH6K,KH6Q,KH6X,KH6Z,KH73,KH7M,KH7O,KH7Q,KH9T,KH9U,KH9V,KH9W,KH9X,KH9Y,KHA2,KHA3,KHA4,KHA5,KHA6,KHA7,KHA8,KHA9,KHE2,KHF6,CMVL,KHI6,KHI7,KHI8,KHJ4,CPCM,KHJ5,KHJ6,KHJ7,KHJ8,KHJ9,KHK2,KHK3,KHK4,KLS2,KNT7,L8GG,L8GH,L8GI,RPHR,RPHU,RPIB,DFDV,DFEG,DHBM,DJDS,DLQY,DLRA,DLWF,DLWJ,DLWL,DLWM,DLWO,DLWQ,DLWT,DLWX,DMUM,DMUN,DMUQ,DTAL,DTWM,DTWR,EQDN,EQDO,EQDT,FAEA,FAEB,FAJX,FBNF,FBNG,FBNH,FBYN,GDPQ,GDPR,GIXM,GIXQ,GIXS,HAYE,HAYO,IHYA,IHYB,IHYC,IHYD,IHYM,IHYN,IHYO,IHYP,IHYQ,IHYR,IHYS,IHYT,IHYU,IKBB,IKBC,IKBD,IKBE,IKBF,IKBH,IKBI,IKBJ,IKBK,IKBL,IKBM,KG6I,KG6U,KG6W,KG74,KG76,KG7C,KG7M,KG7N,KG7O,KG7P,KG7Q,KG7R,KG7S,KG7T,KG7U,KG9K,KG9L,KG9N,KG9O,KG9P,KG9R,KG9S,KG9T,KG9V,KG9W,KG9X,KG9Y,KG9Z,KGA2,KGA3,KGA4,KGA5,KGA6,KGB2,KGB3,KGB4,KGB8,KGB9,KGC2,KGC6,KGC7,KGC8,KGD4,KGD5,KGD6,KGE2,KGE3,KGE4,KGE8,KGE9,KGF2,KGF3,KGF4,KGF5,KGF6,KGF7,KGF8,KGF9,KGG2,KGG3,KGG4,KGG5,KGG6,KGG7,KGG8,KGG9,KGH2,KGH3,KGH4,KGH5,KGH6,KGH7,KGH8,KGH9,KGI2,KGI4,KGI5,KGI6,KGI7,KGI8,KGI9,KGJ2,KGJ3,KGJ4,KGJ5,KGJ6,KGJ7,KGJ8,KGJ9,KGK2,KGK3,KGK4,KGK5,KGK6,KGK7,KGK8,KGK9,KGL2,KGL3,KGL4,KGL5,KGL6,KGL8,KGM2,KGM4,KGM5,KGM6,KGM7,KGM9,KGN3,KGP4,KGP6,KGP8,KGV4,KGV8,KGV9,KGW6,KGW7,KGW8,KGX4,KGX5,KGY2,KGY3,KGY7,KGY8,KGY9,KGZ5,KGZ6,KGZ7,KGZ9,KH22,KH27,KH28,KH29,KH2D,KH2E,KH2J,KH2K,KH2L,KH2P,KH2Q,KH2R,KH2V,KH2W,KH35,KH36,KH37,KH3B,KH3C,KH3D,KH3E,KH3I,KH3J,KH3K,KH3O,KH3P,KH3W,KH3X,KH3Y,KH44,KH45,KH46,KH47,KH49,KH4B,KH4D,KH4F,KH4H,KH59,KH5A,KH5B,KH66,KH67,KH68,KH6A,KH6C,KH6G,KH6I,KH6O,KH6P,KH6U,KH6V,KH74,KH75,KH76,KH7D,KH7E,KH7F,KH7G,KH7J,KH7K,KH7L,KH7P,KH7R,KH8Y,KH92,KH95,KH96,KH97,KH98,KH9A,KH9C,KH9F,KH9G,KH9H,KH9I,KH9K,KH9M,KH9P,KH9Q,KH9R,KH9S,KH9Z,KHB5,KHB6,KHB7,KHC3,KHC4,KHC5,KHC9,KHD2,KHD3,KHD7,KHD8,KHD9,KHE6,KHE7,KHF3,KHF4,KHF5,KHG2,KHG3,KHG7,KHG8,KHG9,KHH5,KHH6,KHH7,KHI3,KHI4,KHI5,KHI9,KHJ2,KHJ3,KI8L,KI8M,KI8N,KI8O,KI8P,KI8Q,KIH8,KIH9,KII2,KJ5P,KJ5Q,KJ5R,KLH7,KLH8,KLH9,KTMW,KTMX,KTMZ,KTNB,L2KL,L2KQ,L2KR,L2KX,L2MW,L2N2,L2N8,L2NC,L2NE,L2NQ,L2O6,L2OC,L2OH,L2P8,L2PA,L2PC,L2PZ,L2Q5,L3BB,L3BG,L3BH,L3BN,L3DM,L3DQ,L3DW,L3E2,L3E4,L3EG,L3EU,L3F2,L3F7,L3FW,L3FY,L3G2,L3GP,L3GT,L3ZZ,L426,L427,L42D,L44C,L44G,L44M,L44Q,L44S,L456,L45K,L45Q,L45V,L46M,L46O,L46Q,L47F,L47J,L489,L48D,L48H,L62K,L62L,L62M,L62N,L634,L635,L636,L637,L64T,L64U,L64V,L64W,L64X,L64Y,L64Z,L652,L653,L654,L655,L656,NHCQ,NHCZ,NHRB,NMFJ,NMOE,NMRK,NMRP,NMRU,NMRY,NPEL,NPEN,NPJO,NPJP,NPJQ,NPJR,NPQR,NPQS,NPQT,NPQX,NRJH,NRJL,NRJN,NRJR,NRJS,NRON,NROO,NROP,NROQ,NSSZ,NTAO,NTAP,ROAW,ROCG,ROYJ,ROYK,ROYL,ROYR,ROYS,ROYT,RPBM,RPBN,RPBO,RPBP,RPHL,RPHM,RPHP,RPHQ,RPIA,RPKY,RPKZ,RPLA,RPQJ,RPQK,RPQL,RPQM,RPXH,RPYH,RPYN,RPZG,RPZT,RQAJ,RQBN,RQBV,RQCH,RVFD,RVFH,RVFT,UTIB,UTID,UTIF,UTIH,UTIJ,UTIL,UTIN,UTIP,UTIR,UTIT,YBEU,YBEX,YBEZ,YBFP,YBFR,YBFS,YBFV,YBGB,YBHA,YBIJ,YBIK,YBIL,YBIM,ZAKV,ZAKW,ZAKX,ZAKY,ZAKZ,ZALA,ZAVN,ZAVO,ZAVV,ZAVW,ZAWB,ZAWC,ZAWL,ZAWM,ZAWV,ZAWW,ZAWZ,ZAXA,ZAXR,ZAXS,ZAYF,ZAYG,ZWUM,ZWUN,ZWUS,ZWUT
1958,14979,198419,27623,401728,27623,401724,370172,21192,326650,111,579,,12208,137,14979,198420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23051,370176,,3470,,3436,34,,,,,,,,,,0.8,,32196,,,31873,,,,,,,,,,,,,,,,,734,,4054,,,,111,,578,,,21230,327263,,21153,,,,6.5,,,2315,,,4879,,,20721,,24.6,,,,,,,,,,,,,,,,,,,,,0.7,1.2,-12.4,-2.6,3.4,3.9,,,,,,,0.4,4.4,4,,,,,,,,,,,,,,,,,,,,,,,2290,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,0,0,0,,13527,,,,,,,,,,,,,,-38,39,-613,137,12208,1.6,1.6,24.6,24.6,4.3,,,0.7,,,3.6,,,1218,1099,119,16471,12295,4688,4535,153,47738,44334,3404,3.4,,,,,,,0.8,,,,,,,,-2.9,-4.6,,,,,,,,0.3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,4,,,0.4,,,,,,2.7,,,,,3.9,,,,,5.5,,,3.4,,,,,,,1.9,,,,,-2.8,,,-1.5,,,-2.6,,,2.8,,,-4.1,,,1.1,,,-2.7,,,3.6,,,4.3,,,0.3,,,4.7,,,,,4.4,,,,,,,,,,,,2.7,,,7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,3.2,,,,,,4688,4535,47739,44334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,3984,3984,127369,127369,,,0,0,0,0,46590,3724,46592,3724,,,,205351,,,,,,,45357,1858,,,,,,,,,,,,,,,,,,,,,,,,15116,,,,,,,,,,-37,,,,,,,,,,,,,1.6,1.6,24.9,,28.3,7.3,6.3,6.2,23050,22935,364328,22935,364325,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,15766,208175,29139,420676,29139,420667,387526,22379,341105,178,2264,,11238,147,15766,208175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24348,387537,,3587,,3703,-116,,,,,,,,,,7.5,,34692,,,32643,,,,,,,,,,,,,,,,,819,,4387,,,,178,,2266,,,22336,340420,,22371,,,,6.6,,,2425,,,5314,,,21908,,25.7,,,,,,,,,,,,,,,,,,,,,4.7,5.1,-7.9,1.8,6.2,4.7,,,,,,,4.6,5.7,4.8,,,,,,,,,,,,,,,,,,,,,,,2432,,,,,,,,,,,,,,,,,,,,,,,,,-35,,,,,,,,,,,0,0,0,,14169,,,,,,,,,,,,,,43,8,685,147,11238,1.7,1.7,25.6,25.7,5.6,,,4.7,,,0.9,,,1249,1131,118,17073,12702,4836,4834,2,49045,47294,1751,6.9,,,,,,,7.5,,,,,,,,3.4,7.8,,,,,,,,7.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,1.1,,,4.4,,,,,,5.5,,,,,6,,,,,5.3,,,4.9,,,,,,,6.2,,,,,3.2,,,2.7,,,2.5,,,3.7,,,6.6,,,6.7,,,2.9,,,3.3,,,5.2,,,4,,,8.2,,,,,5.8,,,,,,,,,,,,0.8,,,7.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,1.1,,,,,,4836,4834,49045,47294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,4232,4232,129663,129662,,,0,0,0,0,50099,3980,50097,3980,,,,217047,,,,,,,48929,1969,,,,,,,,,,,,,,,,,,,,,,,,15913,,,,,,,,,,43,,,,,,,,,,,,,1.6,1.7,26.1,,29.6,7.3,6.3,6.3,24348,24303,382987,24303,382978,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,16535,217530,31227,446566,31227,446557,409973,24006,361965,562,9946,,10396,159,16535,217530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25972,409982,,3801,,4205,-404,,,,,,,,,,9,,38784,,,34239,,,,,,,,,,,,,,,,,994,,5118,,,,562,,9944,,,23761,358094,,24332,,,,6.6,,,2575,,,6035,,,23828,,27.3,,,,,,,,,,,,,,,,,,,,,6.2,6.2,-7.5,2,1.6,7.4,,,,,,,7.6,8.8,6.2,,,,,,,,,,,,,,,,,,,,,,,2471,,,,,,,,,,,,,,,,,,,,,,,,,-571,,,,,,,,,,,0,0,0,,15218,,,,,,,,,,,,,,245,-326,3871,159,10396,1.8,1.8,27,27.6,6.7,,,5.8,,,0.8,,,1333,1294,39,18450,14348,5134,5499,-365,51847,53000,-1153,9.7,,,,,,,9,,,,,,,,6,13.6,,,,,,,,11.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,1.1,,,6.1,,,,,,7.2,,,,,7.4,,,,,4.9,,,4.5,,,,,,,5.6,,,,,6.2,,,5.7,,,6.7,,,8.1,,,13.8,,,12.1,,,14.4,,,13,,,6.4,,,5.2,,,16.7,,,,,8.8,,,,,,,,,,,,1.1,,,8.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,1,,,,,,5134,5499,51847,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,4469,4469,132254,132254,,,0,0,0,0,54589,4368,54588,4368,,,,232775,,,,,,,50184,1967,,,,,,,,,,,,,,,,,,,,,,,,16694,,,,,,,,,,244,,,,,,,,,,,,,1.7,1.8,27.6,,31.2,7.3,6.4,6.3,25973,26093,406893,26093,406885,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,17383,223708,32843,459456,32843,459449,421310,25362,372510,279,4088,,9493,175,17383,223707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27407,421318,,3967,,4111,-144,,,,,,,,,,9.4,,38227,,,35272,,,,,,,,,,,,,,,,,1053,,5063,,,,279,,4085,,,25340,372163,,25747,,,,6.8,,,2652,,,6098,,,25207,,28.1,,,,,,,,,,,,,,,,,,,,,2.9,2.8,-8.7,3.6,4.6,8.1,,,,,,,3.1,5.8,3,,,,,,,,,,,,,,,,,,,,,,,2584,,,,,,,,,,,,,,,,,,,,,,,,,-407,,,,,,,,,,,0,0,0,,16457,,,,,,,,,,,,,,22,-385,347,175,9493,1.9,1.9,28,28.5,5.5,,,2.8,,,2.7,,,1399,1348,51,19130,14574,5366,5459,-93,53500,52615,885,11.9,,,,,,,9.4,,,,,,,,4.4,-2.2,,,,,,,,-1.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,2.7,,,2.9,,,,,,5.2,,,,,5.3,,,,,5.1,,,2.8,,,,,,,6.3,,,,,4.5,,,3.2,,,5,,,3.7,,,-0.7,,,-0.7,,,4.2,,,1.6,,,6.6,,,3.9,,,-1.1,,,,,5.8,,,,,,,,,,,,2.4,,,10.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,2.8,,,,,,5366,5459,53501,52615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,4751,4751,137009,137009,,,0,0,0,0,59742,4889,59742,4889,,,,243806,,,,,,,50385,2044,,,,,,,,,,,,,,,,,,,,,,,,17558,,,,,,,,,,23,,,,,,,,,,,,,1.8,1.9,28.4,,31.8,7.5,6.6,6.5,27406,27477,418397,27477,418390,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,18396,229807,34194,466089,34194,466079,427475,26494,378794,-8,-1168,,9298,201,18396,229808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28707,427486,,4065,,4169,-104,,,,,,,,,,0.7,,39064,,,35908,,,,,,,,,,,,,,,,,1155,,5141,,,,-8,,-1174,,,26427,377788,,27007,,,,7,,,2722,,,6365,,,26446,,28.5,,,,,,,,,,,,,,,,,,,,,1.4,1.4,-2.1,3.1,7.4,5.5,,,,,,,2.1,4.9,2.6,,,,,,,,,,,,,,,,,,,,,,,2774,,,,,,,,,,,,,,,,,,,,,,,,,-580,,,,,,,,,,,0,0,0,,17359,,,,,,,,,,,,,,67,-513,1006,201,9298,2,2,28.4,29.1,4.7,,,1.5,,,3.2,,,1435,1385,50,19401,14854,5500,5554,-54,54412,53730,682,3.3,,,,,,,0.7,,,,,,,,2.5,1.4,,,,,,,,2.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,2.7,,,1.7,,,,,,4.1,,,,,4.4,,,,,5.8,,,2.7,,,,,,,6.4,,,,,2.5,,,1.7,,,2.6,,,1.4,,,1.7,,,2.1,,,2.7,,,1.9,,,4.3,,,1.5,,,1.5,,,,,4.9,,,,,,,,,,,,3,,,14.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,3.3,,,,,,5500,5554,54412,53730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,5056,5056,141280,141279,,,0,0,0,0,60157,5049,60155,5049,,,,247765,,,,,,,49774,2213,,,,,,,,,,,,,,,,,,,,,,,,18597,,,,,,,,,,67,,,,,,,,,,,,,1.9,2,28.8,,32.2,7.7,6.8,6.7,28707,28694,424224,28694,424214,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,19547,240837,36329,487526,36329,487516,447496,28141,397839,161,1952,,12462,291,19547,240838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30409,447506,,4395,,4518,-123,,,,,,,,,,1.5,,41154,,,38247,,,,,,,,,,,,,,,,,1273,,5040,,,,161,,1950,,,28090,397095,,28192,,,,7.1,,,2882,,,6401,,,27540,,30,,,,,,,,,,,,,,,,,,,,,4.6,4.5,34,2.1,5.3,5.2,,,,,,,3.2,4.1,5.9,,,,,,,,,,,,,,,,,,,,,,,2920,,,,,,,,,,,,,,,,,,,,,,,,,-102,,,,,,,,,,,0,0,0,,18257,,,,,,,,,,,,,,51,-51,744,291,12462,2.1,2.1,29.9,30,5.9,,,4.7,,,1.2,,,1457,1453,4,19460,14723,5852,5971,-119,57075,55768,1307,4.9,,,,,,,1.5,,,,,,,,8.1,8.4,,,,,,,,5.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,1.1,,,5,,,,,,6.2,,,,,6.2,,,,,6.3,,,4.8,,,,,,,2.5,,,,,6.4,,,4.9,,,1.5,,,0.3,,,7.5,,,3.8,,,4.9,,,-0.9,,,6.3,,,5.1,,,-2,,,,,4.4,,,,,,,,,,,,1.6,,,44.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,0.7,,,,,,5852,5971,57075,55768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,5183,5183,144230,144230,,,0,0,0,0,61080,5295,61079,5295,,,,259147,,,,,,,50035,2268,,,,,,,,,,,,,,,,,,,,,,,,19838,,,,,,,,,,51,,,,,,,,,,,,,2,2.1,30.1,,33.3,7.9,6.9,6.8,30409,30477,443496,30477,443486,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,20865,250155,39878,519418,39878,519409,473796,30588,421631,700,12244,,11735,325,20865,250155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33221,473805,,4632,,5183,-551,,,,,,,,,,16,,45959,,,39501,,,,,,,,,,,,,,,,,1398,,5564,,,,700,,12243,,,30477,420062,,30559,,,,7.3,,,3063,,,7006,,,29860,,31.8,,,,,,,,,,,,,,,,,,,,,6.5,7.2,-5.8,1.9,14.1,8.4,,,,,,,5.7,8.4,6.3,,,,,,,,,,,,,,,,,,,,,,,3332,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,0,0,0,,19791,,,,,,,,,,,,,,111,29,1569,325,11736,2.3,2.3,31.6,31.7,9.2,,,5.9,,,3.2,,,1551,1585,-34,20107,15912,6183,6768,-585,58950,61797,-2847,18.6,,,,,,,16,,,,,,,,5.4,14.7,,,,,,,,11.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,2.6,,,6,,,,,,9.8,,,,,10.6,,,,,6.7,,,3.9,,,,,,,6.6,,,,,5.7,,,3.3,,,6.5,,,3.3,,,13.3,,,10.8,,,9.1,,,8.1,,,8.5,,,5.8,,,10.4,,,,,8.4,,,,,,,,,,,,3.2,,,11.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,3.3,,,,,,6183,6768,58951,61797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,5526,5526,146961,146962,,,0,0,0,0,70844,6279,70844,6279,,,,271842,,,,,,,52382,2633,,,,,,,,,,,,,,,,,,,,,,,,21190,,,,,,,,,,111,,,,,,,,,,,,,2.2,2.3,31.9,,35.3,8.1,7.1,7,33221,33695,475280,33695,475271,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,22149,254371,42644,530865,42644,530857,486075,32905,434255,461,7492,,12670,390,22149,254372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35882,486085,,4983,,5246,-263,,,,,,,,,,5.2,,46063,,,41691,,,,,,,,,,,,,,,,,1524,,5809,,,,461,,7490,,,32742,432046,,32894,,,,7.6,,,3362,,,7416,,,32153,,32.7,,,,,,,,,,,,,,,,,,,,,2.2,1.8,8,2.7,11.6,8,,,,,,,3.1,7.7,9.8,,,,,,,,,,,,,,,,,,,,,,,3718,,,,,,,,,,,,,,,,,,,,,,,,,-152,,,,,,,,,,,0,0,0,,21375,,,,,,,,,,,,,,163,11,2209,390,12670,2.5,2.5,32.5,32.7,8,,,2.6,,,5.3,,,1613,1679,-66,20273,16428,6596,6925,-329,61522,62371,-849,8.4,,,,,,,5.2,,,,,,,,7.6,1.2,,,,,,,,0.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,4.4,,,3,,,,,,6.9,,,,,7,,,,,6.2,,,1.7,,,,,,,13,,,,,6.7,,,4.4,,,4,,,0.8,,,2.3,,,0.9,,,5.9,,,3.2,,,7.4,,,2.9,,,4.4,,,,,7.6,,,,,,,,,,,,5.1,,,20,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,4.3,,,,,,6596,6925,61522,62370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,6244,6244,150909,150910,,,0,0,0,0,74538,6804,74538,6804,,,,278598,,,,,,,51320,2977,,,,,,,,,,,,,,,,,,,,,,,,22539,,,,,,,,,,163,,,,,,,,,,,,,2.4,2.5,32.7,,36.3,8.5,7.5,7.4,35882,36048,483873,36048,483864,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,23385,260133,45307,544004,45306,543991,497032,34902,443524,288,4254,,13098,433,23386,260134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38185,497045,,5348,,5459,-111,,,,,,,,,,2.7,,47126,,,43377,,,,,,,,,,,,,,,,,1617,,5782,,,,288,,4251,,,34809,442289,,34810,,,,7.9,,,3601,,,7467,,,33982,,33.4,,,,,,,,,,,,,,,,,,,,,2.5,2,3.4,2.9,10.5,7.2,,,,,,,1.9,5.7,7.1,,,,,,,,,,,,,,,,,,,,,,,4110,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,0,0,0,,22914,,,,,,,,,,,,,,93,92,1235,433,13098,2.6,2.6,33.3,33.3,6.4,,,2.3,,,4.1,,,1800,1756,44,22031,16948,7148,7215,-67,64708,63941,767,6.7,,,,,,,2.7,,,,,,,,7.3,4.1,,,,,,,,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,3.9,,,2.1,,,,,,6.2,,,,,5.9,,,,,5.6,,,2.3,,,,,,,8.8,,,,,8.4,,,5.2,,,11.6,,,8.7,,,4.2,,,2.5,,,4.6,,,3.2,,,6.3,,,2.4,,,-0.5,,,,,5.8,,,,,,,,,,,,3.8,,,11,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,3.3,,,,,,7148,7215,64708,63941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,6791,6791,155342,155341,,,0,0,0,0,76556,7261,76553,7261,,,,286389,,,,,,,53121,3282,,,,,,,,,,,,,,,,,,,,,,,,23818,,,,,,,,,,93,,,,,,,,,,,,,2.6,2.6,33.5,,36.9,8.7,7.7,7.7,38185,38159,493454,38158,493441,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,24566,268060,48132,564782,48132,564772,511027,37101,453781,286,3088,,13532,466,24566,268060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40276,511039,,5329,,5930,-601,,,,,,,,,,9,,51282,,,42912,,,,,,,,,,,,,,,,,1766,,6054,,,,286,,3085,,,37143,454336,,36858,,,,8.2,,,3816,,,7938,,,35626,,34.2,,,,,,,,,,,,,,,,,,,,,3.8,4.4,3.3,5.5,7.2,4.2,,,,,,,1.9,4.8,6,,,,,,,,,,,,,,,,,,,,,,,4407,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,0,0,0,,23872,,,,,,,,,,,,,,-42,243,-555,466,13534,2.8,2.8,34.2,34,5.5,,,2.8,,,2.6,,,2041,1884,157,23205,17299,7370,7814,-444,65058,68531,-3473,9.4,,,,,,,9,,,,,,,,-0.4,8.6,,,,,,,,8.8,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,3.9,,,2.3,,,,,,6.2,,,,,6.8,,,,,5.1,,,3,,,,,,,10.4,,,,,3.1,,,0.5,,,13.4,,,5.3,,,8.3,,,7.2,,,7.3,,,2.1,,,6.7,,,2.7,,,4.7,,,,,5.9,,,,,,,,,,,,2.3,,,7.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2,,,,,,7370,7814,65058,68531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,7499,7499,163869,163869,,,0,0,0,0,83426,7945,83425,7945,,,,292279,,,,,,,57406,3175,,,,,,,,,,,,,,,,,,,,,,,,25032,,,,,,,,,,-42,,,,,,,,,,,,,2.7,2.8,34.4,,37.6,8.9,7.9,7.9,40276,40762,515332,40762,515321,,,,,,,,,,,,,,,,,,,,,,,,,,
